"Subject","Genotype","Time","Vcw_calc","Fcw_calc"
2059,"Tumor3wk",0,0,0.0161095642430304
2059,"Tumor3wk",0.001953125,2.40744962400002e-05,0.00854271990672989
2059,"Tumor3wk",0.00390625,2.84165730778448e-05,-0.00409643322477706
2059,"Tumor3wk",0.005859375,2.01721255003823e-05,-0.00434588109454457
2059,"Tumor3wk",0.0078125,1.59878560425593e-05,6.11891697338726e-05
2059,"Tumor3wk",0.009765625,4.46909460870901e-05,0.0293307750358657
2059,"Tumor3wk",0.01171875,0.000102708438888692,0.0300791375929745
2059,"Tumor3wk",0.013671875,0.000136527334860252,0.00455141188190254
2059,"Tumor3wk",0.015625,0.000145173200504914,0.00430195453823188
2059,"Tumor3wk",0.017578125,0.00013871524980381,-0.0109148960561624
2059,"Tumor3wk",0.01953125,0.00010992637495584,-0.0185649117881594
2059,"Tumor3wk",0.021484375,9.68097413903851e-05,0.00513347901713407
2059,"Tumor3wk",0.0234375,0.000113494731956358,0.0119519513224226
2059,"Tumor3wk",0.025390625,0.000128149633462512,0.0030546678198786
2059,"Tumor3wk",0.02734375,0.000119823982322657,-0.0115801345870905
2059,"Tumor3wk",0.029296875,0.000108412605063734,-0.000105115726046563
2059,"Tumor3wk",0.03125,9.8706511866918e-05,-0.00983392370749272
2059,"Tumor3wk",0.033203125,4.69370843729387e-05,-0.0431779700463421
2059,"Tumor3wk",0.03515625,-1.93677437819162e-05,-0.0247181739842293
2059,"Tumor3wk",0.037109375,-3.01294832898382e-05,0.0136981527281172
2059,"Tumor3wk",0.0390625,6.03686562653913e-07,0.0177726132008347
2059,"Tumor3wk",0.041015625,1.04675871394912e-05,-0.00767197901015332
2059,"Tumor3wk",0.04296875,-8.00848154388742e-06,-0.0112475153216264
2059,"Tumor3wk",0.044921875,-3.06259134055814e-05,-0.0119127349047482
2059,"Tumor3wk",0.046875,-6.09576651908735e-05,-0.0191469789233909
2059,"Tumor3wk",0.048828125,-8.21134421813557e-05,-0.00251653671486291
2059,"Tumor3wk",0.05078125,-0.000106760963102869,-0.0227225247087672
2059,"Tumor3wk",0.052734375,-0.00019937567608405,-0.0721149413839615
2059,"Tumor3wk",0.0546875,-0.000334703342609677,-0.0664605891382813
2059,"Tumor3wk",0.056640625,-0.000443721128934909,-0.0451736240587558
2059,"Tumor3wk",0.05859375,-0.000513842510644437,-0.0266306708118012
2059,"Tumor3wk",0.060546875,-0.000512017725737052,0.0284992505569635
2059,"Tumor3wk",0.0625,-0.000429720423291157,0.0557731871476332
2059,"Tumor3wk",0.064453125,-0.000349290793528437,0.0265867537293916
2059,"Tumor3wk",0.06640625,-0.000316771140677375,0.00671337079009665
2059,"Tumor3wk",0.068359375,-0.000302441039543004,0.00796065277149836
2059,"Tumor3wk",0.0703125,-0.000277148499118971,0.017938908622712
2059,"Tumor3wk",0.072265625,-0.000242111558963378,0.0179389180966152
2059,"Tumor3wk",0.07421875,-0.000221122788842445,0.00355358250721991
2059,"Tumor3wk",0.076171875,-0.000198022735351158,0.0201008722678577
2059,"Tumor3wk",0.078125,-0.00013204731193878,0.0474579613064176
2059,"Tumor3wk",0.080078125,-7.96328464385639e-05,0.00621445136580377
2059,"Tumor3wk",0.08203125,-0.000115161607713278,-0.0425959029111106
2059,"Tumor3wk",0.083984375,-0.000166443823084759,-0.00991708562928608
2059,"Tumor3wk",0.0859375,-0.000135873069608911,0.0412215371885544
2059,"Tumor3wk",0.087890625,-7.12781067572098e-05,0.0249237047715872
2059,"Tumor3wk",0.08984375,-3.84336535343637e-05,0.00870901532860718
2059,"Tumor3wk",0.091796875,-3.03562220783093e-05,-0.000437725517607441
2059,"Tumor3wk",0.09375,-5.25676361280393e-05,-0.0223067624693161
2059,"Tumor3wk",0.095703125,-6.90136157515981e-05,0.0054660793347918
2059,"Tumor3wk",0.09765625,-2.75616219225502e-05,0.0369807623461532
2059,"Tumor3wk",0.099609375,1.38903719064977e-05,0.0054660793347918
2059,"Tumor3wk",0.1015625,1.74817183789824e-06,-0.0178996922050376
2059,"Tumor3wk",0.103515625,-4.18197143581262e-05,-0.0267138232596914
2059,"Tumor3wk",0.10546875,-9.7649301468028e-05,-0.0304556739408481
2059,"Tumor3wk",0.107421875,-0.000149418728962007,-0.0225562198129867
2059,"Tumor3wk",0.109375,-0.000201756581392736,-0.0310377410760796
2059,"Tumor3wk",0.111328125,-0.000257829788441675,-0.0263812229420337
2059,"Tumor3wk",0.11328125,-0.000269647174260703,0.0142802198633487
2059,"Tumor3wk",0.115234375,-0.000181828057327674,0.0756465558760735
2059,"Tumor3wk",0.1171875,-1.15875466105657e-05,0.0986797270982452
2059,"Tumor3wk",0.119140625,0.000152237910433087,0.0690775409144556
2059,"Tumor3wk",0.12109375,0.000250451064848677,0.0314927292071082
2059,"Tumor3wk",0.123046875,0.000259990155801873,-0.0217247000710361
2059,"Tumor3wk",0.125,0.000166238597573122,-0.074276895555204
2059,"Tumor3wk",0.126953125,6.18494050524215e-05,-0.0326176375859938
2059,"Tumor3wk",0.12890625,5.57162500971715e-05,0.0263372869118178
2059,"Tumor3wk",0.130859375,8.41757202026654e-05,0.00280521047620795
2059,"Tumor3wk",0.1328125,9.37148157817901e-05,0.00696282339681574
2059,"Tumor3wk",0.134765625,0.000155792477451173,0.0566047021526323
2059,"Tumor3wk",0.13671875,0.000280559122754337,0.071156342637808
2059,"Tumor3wk",0.138671875,0.000393388872141337,0.0443813207344796
2059,"Tumor3wk",0.140625,0.000444910098455232,0.00837641501094945
2059,"Tumor3wk",0.142578125,0.000467360523447377,0.0146128201810064
2059,"Tumor3wk",0.14453125,0.000470159732599758,-0.0117464300089677
2059,"Tumor3wk",0.146484375,0.00039946993057941,-0.0606399272598692
2059,"Tumor3wk",0.1484375,0.000297273229617385,-0.0440094945252443
2059,"Tumor3wk",0.150390625,0.000223660090099037,-0.0313703603415436
2059,"Tumor3wk",0.15234375,0.000171565839103628,-0.0219741526777552
2059,"Tumor3wk",0.154296875,0.000169005640893661,0.0193525097107489
2059,"Tumor3wk",0.15625,0.000230190072628582,0.0433003483858099
2059,"Tumor3wk",0.158203125,0.000301362505530382,0.0295802229056332
2059,"Tumor3wk",0.16015625,0.000383984603722131,0.0550248056427181
2059,"Tumor3wk",0.162109375,0.000513785842138073,0.0778916624952062
2059,"Tumor3wk",0.1640625,0.000622393006280647,0.0333220735867899
2059,"Tumor3wk",0.166015625,0.000637047907786801,-0.0183154544444887
2059,"Tumor3wk",0.16796875,0.00058576569241532,-0.0341975340959079
2059,"Tumor3wk",0.169921875,0.000551942187447137,-0.000437734991510581
2059,"Tumor3wk",0.171875,0.000584543020730947,0.0338209882741312
2059,"Tumor3wk",0.173828125,0.000627050670122959,0.00970684470328981
2059,"Tumor3wk",0.17578125,0.000595338467028848,-0.0421801406716595
2059,"Tumor3wk",0.177734375,0.000532119364993061,-0.0225562198129867
2059,"Tumor3wk",0.1796875,0.000544338168879289,0.0350682749924845
2059,"Tumor3wk",0.181640625,0.000597970687815397,0.0198514243980902
2059,"Tumor3wk",0.18359375,0.00058079389463402,-0.0374404606158202
2059,"Tumor3wk",0.185546875,0.000506043923745891,-0.0391035095736245
2059,"Tumor3wk",0.1875,0.000467185825664931,-0.000687182861278098
2059,"Tumor3wk",0.189453125,0.000486388117413222,0.0203503296115284
2059,"Tumor3wk",0.19140625,0.000545948477900287,0.040639479527226
