"Subject","Genotype","Time","Pressure","Volume"
2059,"Tumor3wk",0,2.90699571114449,0.00550399880957855
2059,"Tumor3wk",0.001953125,6.8971432337747,0.0978664822259235
2059,"Tumor3wk",0.00390625,10.7880442505967,0.198614402203042
2059,"Tumor3wk",0.005859375,14.6695051875719,0.279727361642533
2059,"Tumor3wk",0.0078125,18.5207707754924,0.324171709078284
2059,"Tumor3wk",0.009765625,22.398216749324,0.353365292326131
2059,"Tumor3wk",0.01171875,26.2529995320404,0.378039475065197
2059,"Tumor3wk",0.013671875,30.1061765317491,0.403691839181576
2059,"Tumor3wk",0.015625,26.2100110939573,0.395769369604821
2059,"Tumor3wk",0.017578125,22.3078642724376,0.381952731924131
2059,"Tumor3wk",0.01953125,18.4029798699757,0.362788326119049
2059,"Tumor3wk",0.021484375,14.5479592988201,0.334137603969456
2059,"Tumor3wk",0.0234375,10.6785337726845,0.277168036315627
2059,"Tumor3wk",0.025390625,6.79867530195009,0.170201121170132
2059,"Tumor3wk",0.02734375,2.91849541095401,0.049769360982997
2060,"Tumor3wk",0,2.90453110370661,0.00515709778532334
2060,"Tumor3wk",0.001953125,6.9037534019249,0.103030792947146
2060,"Tumor3wk",0.00390625,10.7999609895326,0.211547590463152
2060,"Tumor3wk",0.005859375,14.6707990842089,0.300821717332087
2060,"Tumor3wk",0.0078125,18.5326105523308,0.349363235301518
2060,"Tumor3wk",0.009765625,22.3945428915725,0.381969449658993
2060,"Tumor3wk",0.01171875,26.2527216989124,0.409778342213208
2060,"Tumor3wk",0.013671875,30.100009580801,0.440380785125203
2060,"Tumor3wk",0.015625,26.2158566215938,0.431751455093119
2060,"Tumor3wk",0.017578125,22.2691751032465,0.415979836988665
2060,"Tumor3wk",0.01953125,18.4117704070709,0.394726175355697
2060,"Tumor3wk",0.021484375,14.548933595733,0.362788503060556
2060,"Tumor3wk",0.0234375,10.6739660057164,0.297879053427889
2060,"Tumor3wk",0.025390625,6.77960642870399,0.179774396884398
2060,"Tumor3wk",0.02734375,2.92562327920212,0.0535447262227493
2061,"Control",0,2.84783603516456,0.00552275836003779
2061,"Control",0.001953125,6.91662741677399,0.144729523966819
2061,"Control",0.00390625,10.8119565626116,0.30863252850526
2061,"Control",0.005859375,14.6938426862923,0.448974140516362
2061,"Control",0.0078125,18.5649315746312,0.520356075510467
2061,"Control",0.009765625,22.4157140918544,0.565767042737554
2061,"Control",0.01171875,26.2707576086028,0.600113798003438
2061,"Control",0.013671875,30.1111961154482,0.63652456569205
2061,"Control",0.015625,26.2226184778421,0.622719914233698
2061,"Control",0.017578125,22.2815532901245,0.60078969432874
2061,"Control",0.01953125,18.4033814397928,0.572359881260437
2061,"Control",0.021484375,14.5518350383092,0.527718576809443
2061,"Control",0.0234375,10.6730725622566,0.430331391536703
2061,"Control",0.025390625,6.775763766497,0.246666543727918
2061,"Control",0.02734375,2.87731397873167,0.0652557144418528
2062,"Tumor2wk",0,2.82592148761706,0.00750017918342783
2062,"Tumor2wk",0.001953125,6.91849488019399,0.155498594977952
2062,"Tumor2wk",0.00390625,10.8124917021311,0.323899891808966
2062,"Tumor2wk",0.005859375,14.7061552416045,0.456871789238616
2062,"Tumor2wk",0.0078125,18.561621251263,0.520276987741908
2062,"Tumor2wk",0.009765625,22.4113035185223,0.561661663837725
2062,"Tumor2wk",0.01171875,26.2647354614659,0.594326081153303
2062,"Tumor2wk",0.013671875,30.1078548150443,0.634275619631883
2062,"Tumor2wk",0.015625,26.2137716002309,0.620992951955159
2062,"Tumor2wk",0.017578125,22.2744263783977,0.598975449143386
2062,"Tumor2wk",0.01953125,18.4145499076777,0.571621306401441
